Afghanistan	Afghanistan	Doogh	yogurt drink	A salted yogurt drink commonly served with Afghan meals.	high	Afghan doogh yogurt drink
Albania	Albania	Raki	spirit	Fruit brandy is a traditional Albanian hospitality drink.	high	Albanian raki drink
Algeria	Algeria	Mint tea	tea	Sweet mint tea is widely shared in Algerian homes and cafes.	high	Algerian mint tea
Angola	Angola	Kissangua	fermented drink	Kissangua is a traditional Angolan fermented cereal drink.	high	Angolan kissangua drink
Antarctica	Antarctica	Hot chocolate	hot drink	Hot chocolate is a practical comfort drink at Antarctic research stations.	territory	Antarctica research station hot chocolate
Argentina	Argentina	Mate	herbal infusion	Mate is a deeply rooted social infusion in Argentina.	official	Argentine mate drink
Armenia	Armenia	Tan	yogurt drink	Tan is a traditional Armenian yogurt-based drink served chilled.	high	Armenian tan yogurt drink
Australia	Australia	Flat white	coffee	The flat white is strongly associated with Australian cafe culture.	high	Australian flat white coffee
Austria	Austria	Almdudler	soft drink	Almdudler is a well-known Austrian herbal soft drink.	high	Austrian Almdudler drink
Azerbaijan	Azerbaijan	Cay	tea	Black tea is central to Azerbaijani hospitality and daily life.	high	Azerbaijani cay tea
Bahamas	Bahamas	Sky Juice	cocktail	Sky Juice mixes gin, coconut water, and condensed milk in Bahamian style.	high	Bahamian Sky Juice cocktail
Bangladesh	Bangladesh	Cha	tea	Milk tea is a staple drink across Bangladesh.	high	Bangladeshi cha tea
Belarus	Belarus	Kvass	fermented drink	Kvass is a traditional fermented rye drink enjoyed in Belarus.	high	Belarusian kvass drink
Belgium	Belgium	Belgian beer	beer	Belgium is internationally known for its diverse beer traditions.	high	Belgian beer
Belize	Belize	Belikin	beer	Belikin is a locally iconic Belizean beer.	high	Belize Belikin beer
Benin	Benin	Tchoukoutou	beer	Tchoukoutou is a traditional sorghum beer in northern Benin.	high	Benin tchoukoutou beer
Bhutan	Bhutan	Suja	butter tea	Suja is a salty butter tea traditionally served in Bhutan.	high	Bhutanese suja butter tea
Bolivia	Bolivia	Mocochinchi	soft drink	Mocochinchi is a Bolivian dried-peach drink served cold.	high	Bolivian mocochinchi drink
Bosnia and Herz.	Bosnia and Herzegovina	Bosnian coffee	coffee	Bosnian coffee is a traditional social drink served in a dzezva.	high	Bosnian coffee dzezva
Botswana	Botswana	Bojalwa jwa Setswana	beer	Traditional sorghum beer is part of Setswana communal occasions.	high	Botswana sorghum beer
Brazil	Brazil	Caipirinha	cocktail	The caipirinha is Brazil's classic cachaca and lime cocktail.	official	Brazilian caipirinha cocktail
Brunei	Brunei	Teh tarik	tea	Pulled milk tea is widely enjoyed in Brunei and nearby Malay food culture.	medium	Brunei teh tarik
Bulgaria	Bulgaria	Rakia	spirit	Rakia is a traditional fruit brandy served across Bulgaria.	high	Bulgarian rakia drink
Burkina Faso	Burkina Faso	Dolo	beer	Dolo is a traditional sorghum beer brewed in Burkina Faso.	high	Burkina Faso dolo beer
Burundi	Burundi	Urwarwa	beer	Urwarwa is a traditional Burundian banana beer.	high	Burundi urwarwa banana beer
Cambodia	Cambodia	Teuk tnaot	palm drink	Palm juice is a traditional Cambodian drink made from sugar palm sap.	high	Cambodian teuk tnaot palm juice
Cameroon	Cameroon	Bil-bil	beer	Bil-bil is a traditional millet beer found in northern Cameroon.	high	Cameroon bil-bil beer
Canada	Canada	Caesar	cocktail	The Caesar is a Canadian cocktail made with clamato and vodka.	high	Canadian Caesar cocktail
Central African Rep.	Central African Republic	Palm wine	palm wine	Palm wine is a traditional fermented drink in Central African communities.	medium	Central African Republic palm wine
Chad	Chad	Karkanji	hibiscus drink	Karkanji is a hibiscus drink enjoyed in Chad and the Sahel.	high	Chad karkanji hibiscus drink
Chile	Chile	Pisco sour	cocktail	Pisco sour is a celebrated cocktail in Chilean drinking culture.	high	Chilean pisco sour
China	China	Green tea	tea	Tea has a long cultural history across China, with green tea especially prominent.	high	Chinese green tea
Colombia	Colombia	Aguardiente	spirit	Aguardiente is a familiar anise-flavored spirit in Colombian celebrations.	high	Colombian aguardiente
Congo	Republic of the Congo	Palm wine	palm wine	Palm wine is a traditional fermented drink in Congolese communities.	medium	Republic of Congo palm wine
Costa Rica	Costa Rica	Guaro sour	cocktail	Guaro sour uses Costa Rica's sugarcane spirit in a local cocktail style.	high	Costa Rican guaro sour
Côte d'Ivoire	Cote d'Ivoire	Bissap	hibiscus drink	Bissap is a popular hibiscus drink in Cote d'Ivoire and West Africa.	high	Cote d'Ivoire bissap drink
Croatia	Croatia	Rakija	spirit	Rakija is a traditional fruit brandy served throughout Croatia.	high	Croatian rakija drink
Cuba	Cuba	Mojito	cocktail	The mojito is a Cuban rum, lime, mint, and soda cocktail.	high	Cuban mojito cocktail
Cyprus	Cyprus	Brandy sour	cocktail	Brandy sour is a well-known Cypriot cocktail tradition.	high	Cyprus brandy sour cocktail
Czechia	Czechia	Pilsner	beer	Czech pilsner beer is a defining part of Czech brewing culture.	high	Czech pilsner beer
Dem. Rep. Congo	Democratic Republic of the Congo	Lotoko	spirit	Lotoko is a traditional Congolese distilled spirit made from grains or bananas.	medium	Democratic Republic of Congo lotoko drink
Denmark	Denmark	Akvavit	spirit	Akvavit is a traditional Scandinavian spirit served at Danish gatherings.	high	Danish akvavit
Djibouti	Djibouti	Shaah	tea	Spiced tea is commonly served in Djibouti's Somali and Afar food culture.	high	Djibouti shaah tea
Dominican Rep.	Dominican Republic	Mamajuana	infused spirit	Mamajuana is a Dominican drink infused with rum, wine, honey, and botanicals.	high	Dominican mamajuana drink
Ecuador	Ecuador	Canelazo	hot cocktail	Canelazo is a warm spiced drink associated with Ecuador's Andean highlands.	high	Ecuadorian canelazo
Egypt	Egypt	Karkade	hibiscus drink	Karkade is a hibiscus tea served hot or cold in Egypt.	high	Egyptian karkade hibiscus tea
El Salvador	El Salvador	Kolashampan	soft drink	Kolashampan is a distinctive Salvadoran soda.	high	El Salvador Kolashampan
Eq. Guinea	Equatorial Guinea	Malamba	palm wine	Malamba palm wine is a traditional drink in Equatorial Guinea.	high	Equatorial Guinea malamba palm wine
Eritrea	Eritrea	Suwa	beer	Suwa is a traditional Eritrean and Ethiopian fermented grain beer.	high	Eritrean suwa beer
Estonia	Estonia	Kali	fermented drink	Kali is Estonia's traditional lightly fermented rye drink.	high	Estonian kali drink
eSwatini	Eswatini	Umcombotsi	beer	Umcombotsi is a traditional sorghum beer in Eswatini and southern Africa.	high	Eswatini umcombotsi beer
Ethiopia	Ethiopia	Buna	coffee	Coffee ceremony is a central Ethiopian social tradition.	high	Ethiopian buna coffee ceremony
Falkland Is.	Falkland Islands	Tea	tea	British-style tea is a familiar everyday drink in the Falkland Islands.	territory	Falkland Islands tea
Fiji	Fiji	Kava	ceremonial drink	Kava is a culturally important drink in Fijian ceremonies and gatherings.	high	Fiji kava ceremony
Finland	Finland	Lonkero	mixed drink	Lonkero is a Finnish gin-and-grapefruit long drink.	high	Finnish lonkero long drink
Fr. S. Antarctic Lands	French Southern and Antarctic Lands	Coffee	hot drink	Coffee is a practical station drink in the remote French southern territories.	territory	French Southern Antarctic Lands research station coffee
France	France	Wine	wine	Wine is deeply embedded in French food and regional culture.	high	French wine
Gabon	Gabon	Palm wine	palm wine	Palm wine is a traditional fermented drink in Gabon.	medium	Gabon palm wine
Gambia	Gambia	Wonjo	hibiscus drink	Wonjo is a hibiscus drink commonly enjoyed in The Gambia.	high	Gambian wonjo drink
Georgia	Georgia	Wine	wine	Georgia has one of the world's oldest continuous winemaking traditions.	high	Georgian qvevri wine
Germany	Germany	Beer	beer	Beer is a long-standing and regionally diverse German tradition.	high	German beer
Ghana	Ghana	Sobolo	hibiscus drink	Sobolo is a Ghanaian hibiscus drink flavored with spices.	high	Ghanaian sobolo drink
Greece	Greece	Ouzo	spirit	Ouzo is a traditional Greek anise-flavored aperitif.	high	Greek ouzo drink
Greenland	Greenland	Greenlandic coffee	coffee cocktail	Greenlandic coffee is a layered coffee cocktail associated with local hospitality.	high	Greenlandic coffee cocktail
Guatemala	Guatemala	Atol de elote	corn drink	Atol de elote is a traditional Guatemalan sweet corn drink.	high	Guatemalan atol de elote
Guinea	Guinea	Ginger juice	ginger drink	Ginger juice is commonly prepared and sold in Guinea and West Africa.	medium	Guinea ginger juice drink
Guinea-Bissau	Guinea-Bissau	Cana de cajeu	spirit	Cashew liquor reflects Guinea-Bissau's important cashew culture.	high	Guinea-Bissau cashew liquor
Guyana	Guyana	Mauby	soft drink	Mauby is a bitter-sweet bark drink enjoyed in Guyana and the Caribbean.	high	Guyanese mauby drink
Haiti	Haiti	Kremas	cream liqueur	Kremas is a Haitian spiced coconut cream drink.	high	Haitian kremas drink
Honduras	Honduras	Horchata	grain drink	Honduran horchata is a traditional sweet drink made with seeds, grains, and spices.	high	Honduran horchata
Hungary	Hungary	Palinka	spirit	Palinka is Hungary's traditional fruit brandy.	high	Hungarian palinka
Iceland	Iceland	Brennivin	spirit	Brennivin is an Icelandic caraway-flavored schnapps.	high	Icelandic Brennivin
India	India	Masala chai	tea	Masala chai is a widely shared spiced milk tea across India.	high	Indian masala chai
Indonesia	Indonesia	Es cendol	sweet drink	Es cendol is a popular Indonesian iced coconut and palm-sugar drink.	high	Indonesian es cendol
Iran	Iran	Doogh	yogurt drink	Doogh is a traditional Iranian yogurt drink served with meals.	high	Iranian doogh drink
Iraq	Iraq	Chai	tea	Sweet black tea is central to everyday Iraqi hospitality.	high	Iraqi chai tea
Ireland	Ireland	Irish whiskey	whiskey	Irish whiskey is one of Ireland's signature distilled drinks.	high	Irish whiskey
Israel	Israel	Arak	spirit	Arak is an anise-flavored spirit common in Israeli and Levantine meals.	high	Israeli arak drink
Italy	Italy	Espresso	coffee	Espresso is a defining part of daily Italian cafe culture.	high	Italian espresso
Jamaica	Jamaica	Rum punch	cocktail	Rum punch reflects Jamaica's rum heritage and tropical flavors.	high	Jamaican rum punch
Japan	Japan	Sake	rice wine	Sake is a traditional Japanese fermented rice drink.	high	Japanese sake
Jordan	Jordan	Mint tea	tea	Sweet mint tea is a common Jordanian hospitality drink.	high	Jordanian mint tea
Kazakhstan	Kazakhstan	Kumis	fermented milk	Kumis is a traditional fermented mare's milk drink in Kazakhstan.	high	Kazakh kumis drink
Kenya	Kenya	Chai	tea	Milk tea is a daily staple in Kenyan homes and workplaces.	high	Kenyan chai tea
Kosovo	Kosovo	Rakia	spirit	Rakia is a traditional fruit brandy served in Kosovo.	high	Kosovo rakia drink
Kuwait	Kuwait	Arabic coffee	coffee	Cardamom-scented Arabic coffee is central to Kuwaiti hospitality.	high	Kuwaiti Arabic coffee
Kyrgyzstan	Kyrgyzstan	Kumis	fermented milk	Kumis is a traditional fermented mare's milk drink in Kyrgyz culture.	high	Kyrgyz kumis drink
Laos	Laos	Lao-Lao	spirit	Lao-Lao is a traditional Laotian rice spirit.	high	Lao-Lao rice whiskey
Latvia	Latvia	Riga Black Balsam	liqueur	Riga Black Balsam is Latvia's historic herbal liqueur.	high	Riga Black Balsam
Lebanon	Lebanon	Arak	spirit	Arak is Lebanon's traditional anise-flavored spirit.	high	Lebanese arak
Lesotho	Lesotho	Joala	beer	Joala is a traditional Basotho sorghum beer.	high	Lesotho joala beer
Liberia	Liberia	Ginger beer	ginger drink	Homemade ginger beer is a familiar Liberian refreshment.	medium	Liberian ginger beer
Libya	Libya	Libyan tea	tea	Strong, foamy tea is a distinctive Libyan hospitality drink.	high	Libyan tea
Lithuania	Lithuania	Gira	fermented drink	Gira is Lithuania's traditional fermented rye drink.	high	Lithuanian gira drink
Luxembourg	Luxembourg	Riesling	wine	Riesling represents Luxembourg's Moselle wine culture.	high	Luxembourg Riesling wine
Macedonia	North Macedonia	Rakija	spirit	Rakija is a traditional fruit brandy in North Macedonian gatherings.	high	North Macedonian rakija
Madagascar	Madagascar	Ranon'ampango	rice drink	Ranon'ampango is a traditional Malagasy toasted-rice water drink.	high	Madagascar ranonampango drink
Malawi	Malawi	Thobwa	fermented drink	Thobwa is a traditional Malawian fermented maize and millet drink.	high	Malawi thobwa drink
Malaysia	Malaysia	Teh tarik	tea	Teh tarik is a beloved pulled milk tea in Malaysian food culture.	high	Malaysian teh tarik
Mali	Mali	Dabileni	hibiscus drink	Dabileni is a Malian hibiscus drink often flavored with ginger or mint.	high	Mali dabileni hibiscus drink
Mauritania	Mauritania	Ataya	tea	Ataya tea is an important Mauritanian social ritual.	high	Mauritanian ataya tea
Mexico	Mexico	Tequila	spirit	Tequila is Mexico's internationally recognized agave spirit.	official	Mexican tequila
Moldova	Moldova	Wine	wine	Wine is central to Moldova's agricultural and cultural identity.	high	Moldovan wine
Mongolia	Mongolia	Airag	fermented milk	Airag is Mongolia's traditional fermented mare's milk.	high	Mongolian airag
Montenegro	Montenegro	Rakija	spirit	Rakija is a traditional fruit brandy served in Montenegro.	high	Montenegrin rakija
Morocco	Morocco	Mint tea	tea	Sweet mint tea is a hallmark of Moroccan hospitality.	high	Moroccan mint tea
Mozambique	Mozambique	Maheu	fermented drink	Maheu is a traditional maize-based drink in Mozambique and southern Africa.	high	Mozambique maheu drink
Myanmar	Myanmar	Laphet yay	tea	Burmese milk tea is a common teashop drink in Myanmar.	high	Myanmar laphet yay tea
N. Cyprus	Northern Cyprus	Turkish coffee	coffee	Turkish coffee is a traditional drink in Northern Cypriot daily culture.	territory	Northern Cyprus Turkish coffee
Namibia	Namibia	Oshikundu	fermented drink	Oshikundu is a traditional Namibian fermented millet drink.	high	Namibian oshikundu drink
Nepal	Nepal	Chiya	tea	Spiced milk tea is a common everyday drink in Nepal.	high	Nepali chiya tea
Netherlands	Netherlands	Jenever	spirit	Jenever is a traditional Dutch juniper-flavored spirit.	high	Dutch jenever
New Caledonia	New Caledonia	Kava	ceremonial drink	Kava is served in New Caledonia's Kanak and Pacific social settings.	territory	New Caledonia kava
New Zealand	New Zealand	Flat white	coffee	The flat white is strongly associated with New Zealand cafe culture.	high	New Zealand flat white coffee
Nicaragua	Nicaragua	Macua	cocktail	The Macua is a Nicaraguan rum cocktail with guava and citrus.	high	Nicaraguan Macua cocktail
Niger	Niger	Bissap	hibiscus drink	Bissap is a common hibiscus drink in Niger and the Sahel.	high	Niger bissap drink
Nigeria	Nigeria	Zobo	hibiscus drink	Zobo is a popular Nigerian hibiscus drink often flavored with ginger.	high	Nigerian zobo drink
North Korea	North Korea	Pyongyang soju	spirit	Soju is a familiar Korean distilled drink also produced in North Korea.	medium	North Korean soju
Norway	Norway	Aquavit	spirit	Aquavit is a traditional Norwegian spiced spirit.	high	Norwegian aquavit
Oman	Oman	Kahwa	coffee	Omani kahwa with cardamom is central to local hospitality.	high	Omani kahwa coffee
Pakistan	Pakistan	Lassi	yogurt drink	Lassi is a widely enjoyed yogurt drink in Pakistan.	high	Pakistani lassi
Palestine	Palestine	Mint tea	tea	Mint tea is a common Palestinian hospitality drink.	high	Palestinian mint tea
Panama	Panama	Seco Herrerano	spirit	Seco is a Panamanian sugarcane spirit used in local mixed drinks.	high	Panama Seco Herrerano
Papua New Guinea	Papua New Guinea	Kava	ceremonial drink	Kava is used in parts of Papua New Guinea and broader Melanesian culture.	medium	Papua New Guinea kava
Paraguay	Paraguay	Terere	herbal infusion	Terere is Paraguay's cold yerba mate infusion and a national symbol.	official	Paraguayan terere
Peru	Peru	Pisco sour	cocktail	Pisco sour is Peru's iconic pisco, lime, and egg-white cocktail.	official	Peruvian pisco sour
Philippines	Philippines	Lambanog	spirit	Lambanog is a traditional Filipino coconut palm spirit.	high	Filipino lambanog
Poland	Poland	Vodka	spirit	Vodka is a long-established Polish distilled drink.	high	Polish vodka
Portugal	Portugal	Port wine	fortified wine	Port wine is Portugal's famous fortified wine from the Douro region.	high	Portuguese port wine
Puerto Rico	Puerto Rico	Pina colada	cocktail	The pina colada is strongly associated with Puerto Rican cocktail culture.	territory	Puerto Rican pina colada
Qatar	Qatar	Karak	tea	Karak is a popular spiced milk tea in Qatar.	high	Qatari karak tea
Romania	Romania	Tuica	spirit	Tuica is Romania's traditional plum brandy.	high	Romanian tuica
Russia	Russia	Kvass	fermented drink	Kvass is a traditional lightly fermented rye drink in Russia.	high	Russian kvass
Rwanda	Rwanda	Urwagwa	beer	Urwagwa is a traditional Rwandan banana beer.	high	Rwanda urwagwa banana beer
S. Sudan	South Sudan	Siko	beer	Siko is a traditional sorghum beer associated with South Sudanese communities.	medium	South Sudan sorghum beer siko
Saudi Arabia	Saudi Arabia	Arabic coffee	coffee	Cardamom-scented Arabic coffee is central to Saudi hospitality.	high	Saudi Arabic coffee
Senegal	Senegal	Bissap	hibiscus drink	Bissap is a widely enjoyed Senegalese hibiscus drink.	high	Senegalese bissap
Serbia	Serbia	Rakija	spirit	Rakija is a traditional Serbian fruit brandy.	high	Serbian rakija
Sierra Leone	Sierra Leone	Ginger beer	ginger drink	Ginger beer is a familiar homemade refreshment in Sierra Leone.	medium	Sierra Leone ginger beer
Slovakia	Slovakia	Borovicka	spirit	Borovicka is a traditional Slovak juniper spirit.	high	Slovak borovicka
Slovenia	Slovenia	Teran	wine	Teran reflects Slovenia's Karst wine traditions.	high	Slovenian Teran wine
Solomon Is.	Solomon Islands	Kava	ceremonial drink	Kava is used socially in Solomon Islands and neighboring Pacific cultures.	high	Solomon Islands kava
Somalia	Somalia	Shaah cadays	tea	Spiced milk tea is a common Somali hospitality drink.	high	Somali shaah cadays tea
Somaliland	Somaliland	Shaah	tea	Spiced tea is a common hospitality drink in Somaliland.	territory	Somaliland shaah tea
South Africa	South Africa	Rooibos tea	tea	Rooibos is a South African herbal tea grown in the Western Cape.	high	South African rooibos tea
South Korea	South Korea	Soju	spirit	Soju is a widely shared Korean distilled drink.	high	Korean soju
Spain	Spain	Sangria	wine punch	Sangria is a Spanish wine punch associated with social occasions.	high	Spanish sangria
Sri Lanka	Sri Lanka	Ceylon tea	tea	Ceylon tea is closely tied to Sri Lanka's history and agriculture.	high	Sri Lankan Ceylon tea
Sudan	Sudan	Karkade	hibiscus drink	Karkade is a hibiscus drink served in Sudanese homes and markets.	high	Sudanese karkade
Suriname	Suriname	Dawet	sweet drink	Dawet reflects Suriname's Javanese heritage with coconut and pandan flavors.	high	Suriname dawet drink
Sweden	Sweden	Brannvin	spirit	Brannvin is a traditional Swedish distilled spirit.	high	Swedish brannvin
Switzerland	Switzerland	Rivella	soft drink	Rivella is a distinctively Swiss milk-serum soft drink.	high	Swiss Rivella drink
Syria	Syria	Arak	spirit	Arak is a traditional anise-flavored spirit in Syrian and Levantine cuisine.	high	Syrian arak
Taiwan	Taiwan	Bubble tea	tea	Bubble tea originated in Taiwan and is a major local drink export.	high	Taiwanese bubble tea
Tajikistan	Tajikistan	Shirchoy	tea	Shirchoy is a salty milk tea associated with Tajik mountain hospitality.	high	Tajik shirchoy tea
Tanzania	Tanzania	Tangawizi	ginger soda	Tangawizi is a ginger soda widely enjoyed in Tanzania.	high	Tanzanian tangawizi drink
Thailand	Thailand	Thai iced tea	tea	Thai iced tea is a sweet spiced tea served over ice.	high	Thai iced tea
Timor-Leste	Timor-Leste	Timor coffee	coffee	Coffee is one of Timor-Leste's signature agricultural products.	high	Timor-Leste coffee
Togo	Togo	Tchoukoutou	beer	Tchoukoutou is a traditional millet or sorghum beer in Togo.	high	Togo tchoukoutou beer
Trinidad and Tobago	Trinidad and Tobago	Mauby	soft drink	Mauby is a bitter-sweet bark drink enjoyed in Trinidad and Tobago.	high	Trinidad Tobago mauby
Tunisia	Tunisia	Mint tea with pine nuts	tea	Mint tea with pine nuts is a distinctive Tunisian hospitality drink.	high	Tunisian mint tea pine nuts
Turkey	Turkey	Turkish tea	tea	Black tea is served throughout the day in Turkey.	high	Turkish tea
Turkmenistan	Turkmenistan	Chal	fermented milk	Chal is a traditional fermented camel milk drink in Turkmen culture.	high	Turkmen chal camel milk
Uganda	Uganda	Waragi	spirit	Waragi is a traditional Ugandan distilled spirit.	high	Ugandan waragi
Ukraine	Ukraine	Uzvar	fruit drink	Uzvar is a traditional Ukrainian dried-fruit drink.	high	Ukrainian uzvar
United Arab Emirates	United Arab Emirates	Arabic coffee	coffee	Arabic coffee with cardamom is central to Emirati hospitality.	high	Emirati Arabic coffee
United Kingdom	United Kingdom	Tea	tea	Tea is a long-standing everyday drink across the United Kingdom.	high	British tea
United States of America	United States of America	Bourbon	whiskey	Bourbon is a distinctive American whiskey style rooted in U.S. distilling.	official	American bourbon whiskey
Uruguay	Uruguay	Mate	herbal infusion	Mate is a daily social infusion strongly associated with Uruguay.	high	Uruguayan mate
Uzbekistan	Uzbekistan	Green tea	tea	Green tea is a common Uzbek hospitality drink served with meals.	high	Uzbek green tea
Vanuatu	Vanuatu	Kava	ceremonial drink	Kava is a culturally important drink in Vanuatu.	high	Vanuatu kava
Venezuela	Venezuela	Chicha criolla	rice drink	Chicha criolla is a traditional Venezuelan sweet rice drink.	high	Venezuelan chicha criolla
Vietnam	Vietnam	Ca phe sua da	coffee	Iced coffee with condensed milk is a signature Vietnamese drink.	high	Vietnamese ca phe sua da
W. Sahara	Western Sahara	Sahrawi tea	tea	Sahrawi tea is a ceremonial mint tea served in rounds.	territory	Sahrawi tea Western Sahara
Yemen	Yemen	Qishr	coffee husk drink	Qishr is a traditional Yemeni spiced drink made from coffee husks.	high	Yemeni qishr drink
Zambia	Zambia	Munkoyo	fermented drink	Munkoyo is a traditional Zambian fermented maize drink.	high	Zambian munkoyo drink
Zimbabwe	Zimbabwe	Mahewu	fermented drink	Mahewu is a traditional Zimbabwean fermented maize drink.	high	Zimbabwean mahewu drink
